x-box,y-box,width,high,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx,class
(1.5-2.5],All,(0.5-3.5],(-inf-8.5],(-inf-0.5],(5.5-6.5],(6.5-7.5],(5.5-6.5],(8.5-9.5],(6.5-7.5],(5.5-6.5],(13.5-14.5],(-inf-0.5],(7.5-8.5],(3.5-4.5],(9.5-10.5],C
(2.5-4.5],All,(3.5-7.5],(-inf-8.5],(1.5-2.5],(6.5-7.5],(9.5-10.5],(0.5-1.5],(5.5-6.5],(12.5-13.5],(5.5-6.5],(4.5-5.5],(2.5-3.5],(7.5-8.5],(2.5-3.5],(6.5-7.5],F
(2.5-4.5],All,(3.5-7.5],(-inf-8.5],(1.5-2.5],(6.5-7.5],(4.5-5.5],(12.5-13.5],(4.5-5.5],(6.5-7.5],(13.5-14.5],(7.5-8.5],(2.5-3.5],(8.5-9.5],(-inf-0.5],(7.5-8.5],U
(2.5-4.5],All,(3.5-7.5],(-inf-8.5],(0.5-1.5],(9.5-11.5],(1.5-2.5],(10.5-11.5],(2.5-3.5],(11.5-12.5],(8.5-9.5],(13.5-14.5],(0.5-1.5],(5.5-6.5],(-inf-0.5],(7.5-8.5],J
(2.5-4.5],All,(3.5-7.5],(-inf-8.5],(0.5-1.5],(5.5-6.5],(13.5-inf),(0.5-1.5],(5.5-6.5],(7.5-8.5],(10.5-11.5],(6.5-7.5],(-inf-0.5],(7.5-8.5],(-inf-0.5],(7.5-8.5],T
(4.5-inf),All,(3.5-7.5],(-inf-8.5],(2.5-5.5],(3.5-4.5],(8.5-9.5],(2.5-3.5],(3.5-4.5],(8.5-9.5],(9.5-10.5],(8.5-9.5],(5.5-6.5],(6.5-7.5],(0.5-1.5],(7.5-8.5],N
(2.5-4.5],All,(3.5-7.5],(-inf-8.5],(2.5-5.5],(4.5-5.5],(7.5-8.5],(1.5-2.5],(7.5-8.5],(9.5-10.5],(9.5-10.5],(8.5-9.5],(2.5-3.5],(8.5-9.5],(2.5-3.5],(5.5-6.5],X
(4.5-inf),All,(3.5-7.5],(-inf-8.5],(1.5-2.5],(7.5-8.5],(2.5-3.5],(5.5-6.5],(3.5-4.5],(13.5-14.5],(8.5-9.5],(14.5-inf),(0.5-1.5],(5.5-6.5],(0.5-1.5],(5.5-6.5],J
(2.5-4.5],All,(3.5-7.5],(-inf-8.5],(1.5-2.5],(6.5-7.5],(5.5-6.5],(7.5-8.5],(6.5-7.5],(6.5-7.5],(2.5-4.5],(7.5-8.5],(2.5-3.5],(7.5-8.5],(3.5-4.5],(7.5-8.5],O
(1.5-2.5],All,(3.5-7.5],(-inf-8.5],(0.5-1.5],(8.5-9.5],(3.5-4.5],(3.5-4.5],(4.5-5.5],(13.5-14.5],(5.5-6.5],(11.5-12.5],(-inf-0.5],(6.5-7.5],(-inf-0.5],(7.5-8.5],J
(2.5-4.5],All,(3.5-7.5],(-inf-8.5],(2.5-5.5],(9.5-11.5],(3.5-4.5],(3.5-4.5],(4.5-5.5],(9.5-10.5],(2.5-4.5],(8.5-9.5],(1.5-2.5],(6.5-7.5],(5.5-7.5],(9.5-10.5],Z
(4.5-inf),All,(9.5-inf),(-inf-8.5],(2.5-5.5],(9.5-11.5],(7.5-8.5],(2.5-3.5],(5.5-6.5],(10.5-11.5],(0.5-2.5],(-inf-3.5],(4.5-5.5],(8.5-9.5],(0.5-1.5],(6.5-7.5],N
(1.5-2.5],All,(3.5-7.5],(-inf-8.5],(1.5-2.5],(6.5-7.5],(7.5-8.5],(2.5-3.5],(3.5-4.5],(11.5-12.5],(4.5-5.5],(3.5-4.5],(0.5-1.5],(9.5-10.5],(1.5-2.5],(7.5-8.5],P
(0.5-1.5],All,(0.5-3.5],(-inf-8.5],(0.5-1.5],(6.5-7.5],(6.5-7.5],(2.5-3.5],(6.5-7.5],(9.5-10.5],(4.5-5.5],(7.5-8.5],(0.5-1.5],(7.5-8.5],(3.5-4.5],(7.5-8.5],S
(2.5-4.5],All,(3.5-7.5],(-inf-8.5],(2.5-5.5],(6.5-7.5],(6.5-7.5],(2.5-3.5],(5.5-6.5],(9.5-10.5],(6.5-7.5],(7.5-8.5],(4.5-5.5],(8.5-9.5],(3.5-4.5],(7.5-8.5],H
(0.5-1.5],All,(0.5-3.5],(-inf-8.5],(-inf-0.5],(6.5-7.5],(13.5-inf),(1.5-2.5],(2.5-3.5],(6.5-7.5],(9.5-10.5],(7.5-8.5],(-inf-0.5],(7.5-8.5],(-inf-0.5],(7.5-8.5],T
(1.5-2.5],All,(3.5-7.5],(-inf-8.5],(0.5-1.5],(6.5-7.5],(9.5-10.5],(0.5-1.5],(2.5-3.5],(6.5-7.5],(11.5-12.5],(7.5-8.5],(0.5-1.5],(10.5-11.5],(-inf-0.5],(7.5-8.5],Y
(4.5-inf),All,(9.5-inf),(-inf-8.5],(2.5-5.5],(8.5-9.5],(5.5-6.5],(0.5-1.5],(7.5-8.5],(9.5-10.5],(2.5-4.5],(6.5-7.5],(2.5-3.5],(7.5-8.5],(3.5-4.5],(8.5-9.5],X
(2.5-4.5],All,(3.5-7.5],(-inf-8.5],(1.5-2.5],(3.5-4.5],(11.5-12.5],(7.5-8.5],(1.5-2.5],(9.5-10.5],(5.5-6.5],(3.5-4.5],(0.5-1.5],(9.5-10.5],(3.5-4.5],(7.5-8.5],P
(2.5-4.5],All,(3.5-7.5],(-inf-8.5],(2.5-5.5],(6.5-7.5],(5.5-6.5],(7.5-8.5],(3.5-4.5],(6.5-7.5],(4.5-5.5],(7.5-8.5],(3.5-4.5],(7.5-8.5],(7.5-inf),(-inf-2.5],A
(2.5-4.5],All,(3.5-7.5],(-inf-8.5],(2.5-5.5],(5.5-6.5],(10.5-11.5],(4.5-5.5],(2.5-3.5],(10.5-11.5],(4.5-5.5],(-inf-3.5],(0.5-1.5],(9.5-10.5],(2.5-3.5],(7.5-8.5],P
(1.5-2.5],All,(3.5-7.5],(-inf-8.5],(1.5-2.5],(7.5-8.5],(8.5-9.5],(1.5-2.5],(5.5-6.5],(12.5-13.5],(4.5-5.5],(4.5-5.5],(0.5-1.5],(8.5-9.5],(1.5-2.5],(7.5-8.5],F
(0.5-1.5],All,(0.5-3.5],(-inf-8.5],(-inf-0.5],(6.5-7.5],(6.5-7.5],(1.5-2.5],(10.5-12.5],(8.5-9.5],(5.5-6.5],(7.5-8.5],(-inf-0.5],(7.5-8.5],(5.5-7.5],(7.5-8.5],Z
(2.5-4.5],All,(3.5-7.5],(-inf-8.5],(1.5-2.5],(3.5-4.5],(8.5-9.5],(4.5-5.5],(7.5-8.5],(11.5-12.5],(9.5-10.5],(11.5-12.5],(0.5-1.5],(7.5-8.5],(1.5-2.5],(6.5-7.5],C
(4.5-inf),All,(7.5-9.5],(-inf-8.5],(2.5-5.5],(8.5-9.5],(5.5-6.5],(2.5-3.5],(6.5-7.5],(9.5-10.5],(4.5-5.5],(7.5-8.5],(2.5-3.5],(7.5-8.5],(2.5-3.5],(7.5-8.5],H
(4.5-inf),All,(9.5-inf),(-inf-8.5],(2.5-5.5],(6.5-7.5],(10.5-11.5],(4.5-5.5],(4.5-5.5],(3.5-4.5],(2.5-4.5],(9.5-10.5],(7.5-inf),(9.5-10.5],(1.5-2.5],(6.5-7.5],M
(2.5-4.5],All,(3.5-7.5],(-inf-8.5],(2.5-5.5],(6.5-7.5],(6.5-7.5],(13.5-14.5],(1.5-2.5],(3.5-4.5],(5.5-6.5],(7.5-8.5],(5.5-6.5],(7.5-8.5],(-inf-0.5],(7.5-8.5],N
(1.5-2.5],All,(0.5-3.5],(-inf-8.5],(2.5-5.5],(4.5-5.5],(9.5-10.5],(6.5-7.5],(2.5-3.5],(6.5-7.5],(2.5-4.5],(8.5-9.5],(1.5-2.5],(5.5-6.5],(3.5-4.5],(10.5-11.5],R
(2.5-4.5],All,(3.5-7.5],(-inf-8.5],(0.5-1.5],(6.5-7.5],(6.5-7.5],(4.5-5.5],(3.5-4.5],(6.5-7.5],(5.5-6.5],(7.5-8.5],(2.5-3.5],(7.5-8.5],(3.5-4.5],(7.5-8.5],X
(2.5-4.5],All,(3.5-7.5],(-inf-8.5],(2.5-5.5],(8.5-9.5],(11.5-12.5],(1.5-2.5],(1.5-2.5],(5.5-6.5],(7.5-8.5],(7.5-8.5],(7.5-inf),(12.5-inf),(0.5-1.5],(6.5-7.5],W
(2.5-4.5],All,(3.5-7.5],(-inf-8.5],(2.5-5.5],(3.5-4.5],(12.5-13.5],(4.5-5.5],(3.5-4.5],(12.5-13.5],(5.5-6.5],(-inf-3.5],(-inf-0.5],(8.5-9.5],(3.5-4.5],(6.5-7.5],P
(4.5-inf),All,(3.5-7.5],(-inf-8.5],(2.5-5.5],(2.5-3.5],(13.5-inf),(7.5-8.5],(0.5-1.5],(10.5-11.5],(5.5-6.5],(-inf-3.5],(0.5-1.5],(9.5-10.5],(3.5-4.5],(7.5-8.5],P
(4.5-inf),All,(7.5-9.5],(-inf-8.5],(2.5-5.5],(7.5-8.5],(7.5-8.5],(2.5-3.5],(6.5-7.5],(9.5-10.5],(4.5-5.5],(6.5-7.5],(1.5-2.5],(7.5-8.5],(4.5-5.5],(7.5-8.5],S
(2.5-4.5],All,(0.5-3.5],(-inf-8.5],(1.5-2.5],(0.5-1.5],(10.5-11.5],(2.5-3.5],(3.5-4.5],(10.5-11.5],(10.5-11.5],(8.5-9.5],(-inf-0.5],(7.5-8.5],(1.5-2.5],(6.5-7.5],F
(2.5-4.5],All,(3.5-7.5],(-inf-8.5],(2.5-5.5],(6.5-7.5],(7.5-8.5],(1.5-2.5],(8.5-9.5],(11.5-12.5],(5.5-6.5],(7.5-8.5],(0.5-1.5],(7.5-8.5],(4.5-5.5],(6.5-7.5],Z
(4.5-inf),All,(3.5-7.5],(-inf-8.5],(2.5-5.5],(6.5-7.5],(6.5-7.5],(11.5-12.5],(1.5-2.5],(6.5-7.5],(8.5-9.5],(7.5-8.5],(7.5-inf),(5.5-6.5],(-inf-0.5],(7.5-8.5],M
(4.5-inf),All,(3.5-7.5],(-inf-8.5],(2.5-5.5],(5.5-6.5],(6.5-7.5],(2.5-3.5],(5.5-6.5],(8.5-9.5],(8.5-9.5],(9.5-10.5],(5.5-6.5],(9.5-10.5],(2.5-3.5],(6.5-7.5],K
(4.5-inf),All,(3.5-7.5],(-inf-8.5],(2.5-5.5],(4.5-5.5],(5.5-6.5],(2.5-3.5],(6.5-7.5],(6.5-7.5],(5.5-6.5],(11.5-12.5],(-inf-0.5],(8.5-9.5],(3.5-4.5],(7.5-8.5],I
(2.5-4.5],All,(3.5-7.5],(-inf-8.5],(0.5-1.5],(3.5-4.5],(11.5-12.5],(2.5-3.5],(2.5-3.5],(9.5-10.5],(10.5-11.5],(6.5-7.5],(1.5-2.5],(9.5-10.5],(0.5-1.5],(7.5-8.5],V
(4.5-inf),All,(3.5-7.5],(-inf-8.5],(2.5-5.5],(6.5-7.5],(9.5-10.5],(1.5-2.5],(2.5-3.5],(11.5-12.5],(4.5-5.5],(4.5-5.5],(1.5-2.5],(7.5-8.5],(5.5-7.5],(8.5-9.5],J
(2.5-4.5],All,(3.5-7.5],(-inf-8.5],(5.5-9.5],(5.5-6.5],(7.5-8.5],(3.5-4.5],(2.5-3.5],(5.5-6.5],(4.5-5.5],(8.5-9.5],(7.5-inf),(6.5-7.5],(5.5-7.5],(8.5-9.5],R
(4.5-inf),All,(3.5-7.5],(-inf-8.5],(1.5-2.5],(6.5-7.5],(3.5-4.5],(13.5-14.5],(5.5-6.5],(6.5-7.5],(14.5-inf),(7.5-8.5],(2.5-3.5],(8.5-9.5],(-inf-0.5],(7.5-8.5],U
(4.5-inf),All,(3.5-7.5],(-inf-8.5],(2.5-5.5],(4.5-5.5],(7.5-8.5],(1.5-2.5],(8.5-9.5],(10.5-11.5],(7.5-8.5],(7.5-8.5],(2.5-3.5],(5.5-6.5],(5.5-7.5],(4.5-5.5],Z
(2.5-4.5],All,(3.5-7.5],(-inf-8.5],(2.5-5.5],(4.5-5.5],(10.5-11.5],(2.5-3.5],(1.5-2.5],(7.5-8.5],(8.5-9.5],(8.5-9.5],(6.5-7.5],(9.5-10.5],(0.5-1.5],(7.5-8.5],W
(4.5-inf),All,(3.5-7.5],(-inf-8.5],(2.5-5.5],(3.5-4.5],(9.5-10.5],(2.5-3.5],(2.5-3.5],(9.5-10.5],(8.5-9.5],(7.5-8.5],(6.5-7.5],(10.5-11.5],(1.5-2.5],(5.5-6.5],W
(2.5-4.5],All,(3.5-7.5],(-inf-8.5],(2.5-5.5],(7.5-8.5],(4.5-5.5],(6.5-7.5],(3.5-4.5],(5.5-6.5],(6.5-7.5],(8.5-9.5],(2.5-3.5],(6.5-7.5],(5.5-7.5],(8.5-9.5],Q
(4.5-inf),All,(3.5-7.5],(-inf-8.5],(1.5-2.5],(4.5-5.5],(11.5-12.5],(4.5-5.5],(0.5-1.5],(11.5-12.5],(5.5-6.5],(3.5-4.5],(3.5-4.5],(9.5-10.5],(2.5-3.5],(7.5-8.5],P
(2.5-4.5],All,(3.5-7.5],(-inf-8.5],(2.5-5.5],(5.5-6.5],(5.5-6.5],(5.5-6.5],(3.5-4.5],(6.5-7.5],(6.5-7.5],(9.5-10.5],(6.5-7.5],(-inf-5.5],(1.5-2.5],(8.5-9.5],M
(2.5-4.5],All,(3.5-7.5],(-inf-8.5],(2.5-5.5],(6.5-7.5],(5.5-6.5],(3.5-4.5],(2.5-3.5],(6.5-7.5],(5.5-6.5],(8.5-9.5],(4.5-5.5],(9.5-10.5],(5.5-7.5],(11.5-12.5],E
(4.5-inf),All,(3.5-7.5],(-inf-8.5],(2.5-5.5],(3.5-4.5],(7.5-8.5],(4.5-5.5],(6.5-7.5],(8.5-9.5],(7.5-8.5],(8.5-9.5],(3.5-4.5],(7.5-8.5],(2.5-3.5],(2.5-4.5],U
(2.5-4.5],All,(3.5-7.5],(-inf-8.5],(1.5-2.5],(5.5-6.5],(6.5-7.5],(5.5-6.5],(4.5-5.5],(8.5-9.5],(7.5-8.5],(9.5-10.5],(1.5-2.5],(7.5-8.5],(3.5-4.5],(8.5-9.5],G
(2.5-4.5],All,(3.5-7.5],(-inf-8.5],(2.5-5.5],(5.5-6.5],(8.5-9.5],(1.5-2.5],(8.5-9.5],(10.5-11.5],(7.5-8.5],(6.5-7.5],(1.5-2.5],(9.5-10.5],(5.5-7.5],(5.5-6.5],Z
(4.5-inf),All,(3.5-7.5],(-inf-8.5],(5.5-9.5],(6.5-7.5],(6.5-7.5],(3.5-4.5],(4.5-5.5],(5.5-6.5],(6.5-7.5],(8.5-9.5],(2.5-3.5],(8.5-9.5],(7.5-inf),(6.5-7.5],L
(2.5-4.5],All,(3.5-7.5],(-inf-8.5],(1.5-2.5],(5.5-6.5],(11.5-12.5],(2.5-3.5],(4.5-5.5],(12.5-13.5],(6.5-7.5],(-inf-3.5],(0.5-1.5],(9.5-10.5],(1.5-2.5],(5.5-6.5],F
(1.5-2.5],All,(0.5-3.5],(-inf-8.5],(1.5-2.5],(7.5-8.5],(6.5-7.5],(5.5-6.5],(2.5-3.5],(5.5-6.5],(6.5-7.5],(7.5-8.5],(5.5-6.5],(-inf-5.5],(0.5-1.5],(6.5-7.5],M
(2.5-4.5],All,(3.5-7.5],(-inf-8.5],(2.5-5.5],(8.5-9.5],(6.5-7.5],(1.5-2.5],(6.5-7.5],(14.5-inf),(2.5-4.5],(7.5-8.5],(-inf-0.5],(5.5-6.5],(0.5-1.5],(6.5-7.5],J
(1.5-2.5],All,(0.5-3.5],(-inf-8.5],(1.5-2.5],(4.5-5.5],(6.5-7.5],(9.5-10.5],(6.5-7.5],(6.5-7.5],(5.5-6.5],(4.5-5.5],(2.5-3.5],(7.5-8.5],(2.5-3.5],(7.5-8.5],D
(2.5-4.5],All,(3.5-7.5],(-inf-8.5],(2.5-5.5],(7.5-8.5],(6.5-7.5],(3.5-4.5],(8.5-9.5],(5.5-6.5],(6.5-7.5],(7.5-8.5],(3.5-4.5],(5.5-6.5],(7.5-inf),(8.5-9.5],X
(2.5-4.5],All,(3.5-7.5],(-inf-8.5],(2.5-5.5],(7.5-8.5],(5.5-6.5],(4.5-5.5],(3.5-4.5],(5.5-6.5],(5.5-6.5],(7.5-8.5],(2.5-3.5],(8.5-9.5],(0.5-1.5],(6.5-7.5],U
(2.5-4.5],All,(3.5-7.5],(-inf-8.5],(5.5-9.5],(6.5-7.5],(6.5-7.5],(4.5-5.5],(3.5-4.5],(6.5-7.5],(5.5-6.5],(7.5-8.5],(5.5-6.5],(8.5-9.5],(5.5-7.5],(7.5-8.5],V
(2.5-4.5],All,(3.5-7.5],(9.5-11.5],(5.5-9.5],(7.5-8.5],(5.5-6.5],(7.5-8.5],(3.5-4.5],(4.5-5.5],(5.5-6.5],(6.5-7.5],(3.5-4.5],(7.5-8.5],(5.5-7.5],(9.5-10.5],Q
(1.5-2.5],All,(3.5-7.5],(-inf-8.5],(2.5-5.5],(7.5-8.5],(7.5-8.5],(2.5-3.5],(2.5-3.5],(7.5-8.5],(4.5-5.5],(5.5-6.5],(3.5-4.5],(7.5-8.5],(4.5-5.5],(2.5-4.5],J
(1.5-2.5],All,(0.5-3.5],(-inf-8.5],(1.5-2.5],(5.5-6.5],(6.5-7.5],(4.5-5.5],(7.5-8.5],(5.5-6.5],(6.5-7.5],(10.5-11.5],(-inf-0.5],(8.5-9.5],(7.5-inf),(6.5-7.5],S
(1.5-2.5],All,(3.5-7.5],(-inf-8.5],(1.5-2.5],(8.5-9.5],(6.5-7.5],(1.5-2.5],(4.5-5.5],(10.5-11.5],(4.5-5.5],(6.5-7.5],(1.5-2.5],(7.5-8.5],(3.5-4.5],(8.5-9.5],B
(2.5-4.5],All,(3.5-7.5],(-inf-8.5],(1.5-2.5],(6.5-7.5],(6.5-7.5],(13.5-14.5],(1.5-2.5],(4.5-5.5],(5.5-6.5],(7.5-8.5],(5.5-6.5],(7.5-8.5],(-inf-0.5],(7.5-8.5],N
(1.5-2.5],All,(3.5-7.5],(-inf-8.5],(1.5-2.5],(4.5-5.5],(11.5-12.5],(2.5-3.5],(4.5-5.5],(12.5-13.5],(6.5-7.5],(3.5-4.5],(0.5-1.5],(8.5-9.5],(1.5-2.5],(5.5-6.5],F
(2.5-4.5],All,(3.5-7.5],(8.5-9.5],(2.5-5.5],(9.5-11.5],(3.5-4.5],(1.5-2.5],(5.5-6.5],(8.5-9.5],(0.5-2.5],(5.5-6.5],(0.5-1.5],(7.5-8.5],(5.5-7.5],(8.5-9.5],Z
(4.5-inf),All,(3.5-7.5],(-inf-8.5],(2.5-5.5],(5.5-6.5],(7.5-8.5],(3.5-4.5],(5.5-6.5],(9.5-10.5],(8.5-9.5],(7.5-8.5],(1.5-2.5],(7.5-8.5],(4.5-5.5],(4.5-5.5],S
(1.5-2.5],All,(0.5-3.5],(-inf-8.5],(0.5-1.5],(4.5-5.5],(10.5-11.5],(6.5-7.5],(1.5-2.5],(8.5-9.5],(5.5-6.5],(3.5-4.5],(0.5-1.5],(8.5-9.5],(2.5-3.5],(7.5-8.5],P
(2.5-4.5],All,(3.5-7.5],(-inf-8.5],(2.5-5.5],(7.5-8.5],(5.5-6.5],(2.5-3.5],(5.5-6.5],(9.5-10.5],(4.5-5.5],(7.5-8.5],(4.5-5.5],(6.5-7.5],(3.5-4.5],(7.5-8.5],H
(2.5-4.5],All,(3.5-7.5],(-inf-8.5],(1.5-2.5],(7.5-8.5],(6.5-7.5],(6.5-7.5],(3.5-4.5],(8.5-9.5],(5.5-6.5],(7.5-8.5],(1.5-2.5],(7.5-8.5],(2.5-3.5],(7.5-8.5],O
(4.5-inf),All,(7.5-9.5],(-inf-8.5],(2.5-5.5],(6.5-7.5],(6.5-7.5],(2.5-3.5],(5.5-6.5],(9.5-10.5],(6.5-7.5],(7.5-8.5],(2.5-3.5],(8.5-9.5],(2.5-3.5],(6.5-7.5],H
(4.5-inf),All,(3.5-7.5],(8.5-9.5],(2.5-5.5],(7.5-8.5],(7.5-8.5],(7.5-8.5],(4.5-5.5],(4.5-5.5],(7.5-8.5],(9.5-10.5],(3.5-4.5],(6.5-7.5],(5.5-7.5],(7.5-8.5],Q
(4.5-inf),All,(3.5-7.5],(-inf-8.5],(2.5-5.5],(7.5-8.5],(3.5-4.5],(0.5-1.5],(6.5-7.5],(8.5-9.5],(0.5-2.5],(8.5-9.5],(0.5-1.5],(5.5-6.5],(2.5-3.5],(8.5-9.5],L
(2.5-4.5],All,(3.5-7.5],(-inf-8.5],(2.5-5.5],(6.5-7.5],(6.5-7.5],(1.5-2.5],(7.5-8.5],(9.5-10.5],(6.5-7.5],(8.5-9.5],(2.5-3.5],(7.5-8.5],(2.5-3.5],(6.5-7.5],X
(2.5-4.5],All,(3.5-7.5],(-inf-8.5],(2.5-5.5],(3.5-4.5],(10.5-11.5],(1.5-2.5],(5.5-6.5],(10.5-11.5],(9.5-10.5],(5.5-6.5],(0.5-1.5],(9.5-10.5],(2.5-3.5],(5.5-6.5],F
(1.5-2.5],All,(0.5-3.5],(-inf-8.5],(2.5-5.5],(6.5-7.5],(6.5-7.5],(7.5-8.5],(5.5-6.5],(4.5-5.5],(2.5-4.5],(5.5-6.5],(1.5-2.5],(7.5-8.5],(2.5-3.5],(6.5-7.5],Q
(0.5-1.5],All,(0.5-3.5],(-inf-8.5],(-inf-0.5],(1.5-2.5],(-inf-1.5],(5.5-6.5],(3.5-4.5],(-inf-2.5],(2.5-4.5],(3.5-4.5],(-inf-0.5],(7.5-8.5],(-inf-0.5],(7.5-8.5],L
(4.5-inf),All,(3.5-7.5],(-inf-8.5],(5.5-9.5],(7.5-8.5],(9.5-10.5],(6.5-7.5],(3.5-4.5],(9.5-10.5],(2.5-4.5],(-inf-3.5],(2.5-3.5],(10.5-11.5],(3.5-4.5],(7.5-8.5],P
(1.5-2.5],All,(3.5-7.5],(-inf-8.5],(0.5-1.5],(7.5-8.5],(5.5-6.5],(1.5-2.5],(9.5-10.5],(10.5-11.5],(4.5-5.5],(8.5-9.5],(0.5-1.5],(7.5-8.5],(5.5-7.5],(8.5-9.5],Z
(-inf-0.5],All,(0.5-3.5],(-inf-8.5],(-inf-0.5],(11.5-12.5],(3.5-4.5],(3.5-4.5],(2.5-3.5],(10.5-11.5],(2.5-4.5],(10.5-11.5],(-inf-0.5],(6.5-7.5],(-inf-0.5],(7.5-8.5],J
(0.5-1.5],All,(0.5-3.5],(-inf-8.5],(0.5-1.5],(5.5-6.5],(6.5-7.5],(7.5-8.5],(5.5-6.5],(5.5-6.5],(5.5-6.5],(5.5-6.5],(1.5-2.5],(7.5-8.5],(2.5-3.5],(7.5-8.5],D
(2.5-4.5],All,(3.5-7.5],(-inf-8.5],(2.5-5.5],(6.5-7.5],(7.5-8.5],(3.5-4.5],(7.5-8.5],(6.5-7.5],(4.5-5.5],(6.5-7.5],(2.5-3.5],(7.5-8.5],(4.5-5.5],(7.5-8.5],K
(2.5-4.5],All,(3.5-7.5],(-inf-8.5],(0.5-1.5],(4.5-5.5],(13.5-inf),(0.5-1.5],(5.5-6.5],(8.5-9.5],(10.5-11.5],(6.5-7.5],(-inf-0.5],(7.5-8.5],(-inf-0.5],(7.5-8.5],T
(4.5-inf),All,(3.5-7.5],(-inf-8.5],(5.5-9.5],(7.5-8.5],(4.5-5.5],(5.5-6.5],(2.5-3.5],(6.5-7.5],(7.5-8.5],(10.5-11.5],(7.5-inf),(8.5-9.5],(4.5-5.5],(2.5-4.5],C
(1.5-2.5],All,(0.5-3.5],(-inf-8.5],(0.5-1.5],(5.5-6.5],(7.5-8.5],(5.5-6.5],(5.5-6.5],(6.5-7.5],(8.5-9.5],(8.5-9.5],(2.5-3.5],(8.5-9.5],(-inf-0.5],(7.5-8.5],U
(2.5-4.5],All,(3.5-7.5],(-inf-8.5],(1.5-2.5],(6.5-7.5],(6.5-7.5],(3.5-4.5],(12.5-inf),(8.5-9.5],(5.5-6.5],(7.5-8.5],(-inf-0.5],(7.5-8.5],(7.5-inf),(7.5-8.5],Z
(4.5-inf),All,(9.5-inf),(-inf-8.5],(9.5-inf),(5.5-6.5],(9.5-10.5],(0.5-1.5],(4.5-5.5],(9.5-10.5],(6.5-7.5],(4.5-5.5],(5.5-6.5],(9.5-10.5],(4.5-5.5],(-inf-2.5],F
(2.5-4.5],All,(3.5-7.5],(-inf-8.5],(2.5-5.5],(8.5-9.5],(5.5-6.5],(5.5-6.5],(3.5-4.5],(5.5-6.5],(6.5-7.5],(4.5-5.5],(7.5-inf),(-inf-5.5],(2.5-3.5],(5.5-6.5],M
(0.5-1.5],All,(0.5-3.5],(-inf-8.5],(-inf-0.5],(7.5-8.5],(9.5-10.5],(0.5-1.5],(2.5-3.5],(5.5-6.5],(10.5-11.5],(7.5-8.5],(0.5-1.5],(10.5-11.5],(-inf-0.5],(7.5-8.5],Y
(2.5-4.5],All,(3.5-7.5],(9.5-11.5],(5.5-9.5],(7.5-8.5],(5.5-6.5],(7.5-8.5],(2.5-3.5],(5.5-6.5],(4.5-5.5],(8.5-9.5],(2.5-3.5],(8.5-9.5],(4.5-5.5],(9.5-10.5],Q
(4.5-inf),All,(3.5-7.5],(-inf-8.5],(5.5-9.5],(6.5-7.5],(7.5-8.5],(7.5-8.5],(3.5-4.5],(9.5-10.5],(6.5-7.5],(7.5-8.5],(2.5-3.5],(7.5-8.5],(2.5-3.5],(7.5-8.5],O
(4.5-inf),All,(3.5-7.5],(-inf-8.5],(2.5-5.5],(7.5-8.5],(6.5-7.5],(1.5-2.5],(7.5-8.5],(8.5-9.5],(5.5-6.5],(7.5-8.5],(3.5-4.5],(9.5-10.5],(3.5-4.5],(7.5-8.5],X
(2.5-4.5],All,(3.5-7.5],(-inf-8.5],(2.5-5.5],(8.5-9.5],(6.5-7.5],(2.5-3.5],(4.5-5.5],(6.5-7.5],(5.5-6.5],(6.5-7.5],(2.5-3.5],(8.5-9.5],(3.5-4.5],(7.5-8.5],B
(4.5-inf),All,(3.5-7.5],(-inf-8.5],(2.5-5.5],(5.5-6.5],(5.5-6.5],(6.5-7.5],(3.5-4.5],(9.5-10.5],(6.5-7.5],(8.5-9.5],(4.5-5.5],(8.5-9.5],(4.5-5.5],(7.5-8.5],O
(2.5-4.5],All,(3.5-7.5],(-inf-8.5],(2.5-5.5],(6.5-7.5],(5.5-6.5],(11.5-12.5],(3.5-4.5],(6.5-7.5],(11.5-12.5],(7.5-8.5],(2.5-3.5],(8.5-9.5],(-inf-0.5],(7.5-8.5],U
(4.5-inf),All,(3.5-7.5],(-inf-8.5],(2.5-5.5],(5.5-6.5],(8.5-9.5],(4.5-5.5],(5.5-6.5],(5.5-6.5],(8.5-9.5],(9.5-10.5],(4.5-5.5],(10.5-11.5],(0.5-1.5],(7.5-8.5],U
(4.5-inf),All,(7.5-9.5],(-inf-8.5],(2.5-5.5],(6.5-7.5],(9.5-10.5],(0.5-1.5],(7.5-8.5],(5.5-6.5],(11.5-12.5],(8.5-9.5],(3.5-4.5],(9.5-10.5],(2.5-3.5],(6.5-7.5],Y
(0.5-1.5],All,(0.5-3.5],(-inf-8.5],(0.5-1.5],(7.5-8.5],(6.5-7.5],(2.5-3.5],(4.5-5.5],(9.5-10.5],(4.5-5.5],(6.5-7.5],(1.5-2.5],(7.5-8.5],(3.5-4.5],(8.5-9.5],B
(4.5-inf),All,(3.5-7.5],(-inf-8.5],(2.5-5.5],(9.5-11.5],(4.5-5.5],(3.5-4.5],(6.5-7.5],(9.5-10.5],(0.5-2.5],(5.5-6.5],(2.5-3.5],(7.5-8.5],(2.5-3.5],(8.5-9.5],D
